training_seed,term,random_draws,random_mean_accuracy,nonrecent_excess_cost_pp,raw_nonrecent_cost_pp,random_deletion_cost_pp,attnres_relative_gain_pp,absolute_ability_pp,draw_aggregate_min_pp,draw_aggregate_max_pp,draw_aggregate_sd_pp
1338,determiner_noun_agreement,5,62.306000000000004,4.175999999999997,28.559999999999995,24.384,1.759999999999991,36.69,,,
1338,ellipsis,5,36.638,1.1179999999999979,29.759999999999998,28.641999999999996,-0.789999999999992,15.280000000000001,,,
1338,filler_gap_dependency,5,62.61,5.1899999999999995,12.069999999999993,6.879999999999994,1.1299999999999955,19.489999999999995,,,
1338,irregular_forms,5,63.688,-2.262000000000002,14.189999999999998,16.451999999999998,-6.040000000000006,30.14,,,
1338,island_effects,5,52.146,2.4459999999999966,0.02999999999999403,-2.4160000000000026,-1.4400000000000048,-0.2700000000000031,,,
1338,npi_licensing,5,45.252,2.172000000000003,6.539999999999999,4.367999999999997,-5.310000000000002,-0.38000000000000256,,,
1338,quantifiers,5,68.438,10.237999999999998,22.439999999999998,12.202,-0.4399999999999977,30.64,,,
1338,s-selection,5,70.374,1.7239999999999953,9.179999999999993,7.455999999999998,0.7099999999999937,27.83,,,
1338,subject_verb_agreement,5,53.260000000000005,0.35000000000000286,14.430000000000007,14.080000000000004,-0.9099999999999966,17.340000000000003,,,
1339,anaphor_agreement,5,63.596000000000004,10.866000000000003,32.81000000000001,21.944000000000006,-1.259999999999991,35.540000000000006,,,
1339,argument_structure,5,60.746,4.535999999999999,13.449999999999996,8.913999999999998,2.1400000000000006,19.659999999999997,,,
1339,binding,5,61.374,0.6639999999999986,9.059999999999995,8.395999999999997,1.1400000000000006,19.769999999999996,,,
1339,control_raising,5,58.529999999999994,1.7799999999999998,6.509999999999998,4.729999999999999,-0.5,13.259999999999998,,,
1339,determiner_noun_agreement,5,63.788,5.257999999999997,28.120000000000005,22.86200000000001,0.2400000000000091,36.650000000000006,,,
1339,ellipsis,5,38.99399999999999,-0.1460000000000008,30.61,30.755999999999993,4.109999999999999,19.75,,,
1339,filler_gap_dependency,5,61.291999999999994,4.341999999999999,12.450000000000003,8.108000000000004,2.0400000000000063,19.400000000000006,,,
1339,irregular_forms,5,73.422,8.471999999999998,23.379999999999995,14.907999999999998,1.0499999999999972,38.33,,,
1339,island_effects,5,51.52,-3.129999999999997,-5.309999999999995,-2.1799999999999984,-2.509999999999998,-0.6599999999999966,,,
1339,npi_licensing,5,49.638,8.187999999999999,14.199999999999996,6.011999999999998,4.059999999999995,5.649999999999999,,,
1339,quantifiers,5,58.298,-0.6119999999999962,20.730000000000004,21.342000000000002,-3.780000000000001,29.64,,,
1339,s-selection,5,70.672,2.1919999999999957,9.899999999999991,7.707999999999996,1.259999999999991,28.379999999999995,,,
1339,subject_verb_agreement,5,52.06,1.810000000000001,14.719999999999999,12.909999999999997,0.3299999999999983,14.969999999999999,,,
mean,anaphor_agreement,5,66.25333333333333,6.4233333333333364,27.080000000000002,20.656666666666666,-1.0133333333333308,36.910000000000004,2.9266666666666694,10.743333333333334,3.7225969131478336
mean,argument_structure,5,60.150000000000006,3.569999999999999,12.409999999999998,8.84,1.6066666666666691,18.99,2.6566666666666663,4.703333333333333,0.861716632980678
mean,binding,5,61.181999999999995,0.15199999999999866,7.186666666666663,7.034666666666664,0.11333333333333447,18.216666666666665,-0.19333333333333513,0.5166666666666657,0.2730750812505602
mean,control_raising,5,57.51733333333333,1.6606666666666665,8.296666666666667,6.636,1.1166666666666671,14.153333333333334,1.4199999999999993,1.9933333333333323,0.22735679253347837
mean,determiner_noun_agreement,5,62.88466666666667,5.091333333333332,28.810000000000002,23.718666666666667,0.6433333333333309,36.60333333333333,4.2700000000000005,6.769999999999999,1.0236986318682313
mean,ellipsis,5,37.12133333333333,0.4346666666666665,31.043333333333333,30.608666666666664,1.003333333333335,17.73,-1.1233333333333324,1.25,0.9768446936722104
mean,filler_gap_dependency,5,61.95533333333333,3.765333333333331,11.326666666666663,7.561333333333333,1.753333333333335,19.516666666666666,2.953333333333331,4.249999999999996,0.5546650641002485
mean,irregular_forms,5,69.41733333333333,3.6773333333333347,20.263333333333335,16.586,-1.2100000000000033,36.00333333333334,-1.0700000000000003,8.37,4.084375649281594
