training_seed,mask_seed,term,unmasked_accuracy,nonrecent_masked_accuracy,random_masked_accuracy,baseline_accuracy,raw_nonrecent_cost_pp,random_deletion_cost_pp,nonrecent_excess_cost_pp,attnres_relative_gain_pp,absolute_ability_pp
1338,20260721,ellipsis,65.28,35.52,36.32,66.07,29.759999999999998,28.96,0.7999999999999972,-0.789999999999992,15.280000000000001
1338,20260722,ellipsis,65.28,35.52,37.67,66.07,29.759999999999998,27.61,2.1499999999999986,-0.789999999999992,15.280000000000001
1338,20260718,filler_gap_dependency,69.49,57.42,60.14,68.36,12.069999999999993,9.349999999999994,2.719999999999999,1.1299999999999955,19.489999999999995
1338,20260719,filler_gap_dependency,69.49,57.42,62.66,68.36,12.069999999999993,6.829999999999998,5.239999999999995,1.1299999999999955,19.489999999999995
1338,20260720,filler_gap_dependency,69.49,57.42,62.74,68.36,12.069999999999993,6.749999999999993,5.32,1.1299999999999955,19.489999999999995
1338,20260721,filler_gap_dependency,69.49,57.42,63.7,68.36,12.069999999999993,5.789999999999992,6.280000000000001,1.1299999999999955,19.489999999999995
1338,20260722,filler_gap_dependency,69.49,57.42,63.81,68.36,12.069999999999993,5.679999999999993,6.390000000000001,1.1299999999999955,19.489999999999995
1338,20260718,irregular_forms,80.14,65.95,67.47,86.18,14.189999999999998,12.670000000000002,1.519999999999996,-6.040000000000006,30.14
1338,20260719,irregular_forms,80.14,65.95,64.06,86.18,14.189999999999998,16.08,-1.8900000000000006,-6.040000000000006,30.14
1338,20260720,irregular_forms,80.14,65.95,48.71,86.18,14.189999999999998,31.43,-17.240000000000002,-6.040000000000006,30.14
1338,20260721,irregular_forms,80.14,65.95,65.53,86.18,14.189999999999998,14.61,-0.4200000000000017,-6.040000000000006,30.14
1338,20260722,irregular_forms,80.14,65.95,72.67,86.18,14.189999999999998,7.469999999999999,6.719999999999999,-6.040000000000006,30.14
1338,20260718,island_effects,49.73,49.7,50.89,51.17,0.02999999999999403,-1.1600000000000037,1.1899999999999977,-1.4400000000000048,-0.2700000000000031
1338,20260719,island_effects,49.73,49.7,52.98,51.17,0.02999999999999403,-3.25,3.279999999999994,-1.4400000000000048,-0.2700000000000031
